Declination (REDO),REG2,REG1,WEG2,Partisan Bias,Mean-Median,EG
0.049603341619238,-0.325278884526002,-0.478261003923727,-0.028326380632352,-0.166666666666666,-0.011579154641052,-0.127119231517818
0.051256520942442,-0.322013081820658,-0.47891611575506,-0.028326380632352,-0.166666666666666,-0.011625417412012,-0.127119231517818
0.051256520942442,-0.322013081820658,-0.47891611575506,-0.028326380632352,-0.166666666666666,-0.011890525115507,-0.127119231517818
0.051256520942442,-0.322013081820658,-0.47891611575506,-0.028326380632352,-0.166666666666666,-0.027873674790656,-0.127119231517818
0.051256520942442,-0.661195962608122,-0.4792476312493,-0.028326380632352,0,-0.033262801031798,-0.126954109690219
0.051256520942442,-0.661195962608122,-0.4792476312493,-0.028326380632352,-0.166666666666666,-0.034702568986519,-0.126954109690219
0.051256520942442,-0.661195962608122,-0.4792476312493,-0.028326380632352,-0.166666666666666,-0.034303386413039,-0.121941076233025
0.051256520942442,-0.661195962608122,-0.4792476312493,-0.028326380632352,-0.166666666666666,-0.03420739853137,-0.121941076233025
-0.000132270176661,-0.661195962608122,-0.476662650057307,-0.028326380632352,-0.166666666666666,-0.01772700050906,-0.131933344171542
-0.000132270176661,-0.661195962608122,-0.476662650057307,-0.028326380632352,0,-0.018118451692049,-0.131933344171542
-0.000132270176661,-0.336039868379119,-0.476662650057307,-0.028326380632352,0,-0.029388439806357,-0.131933344171542
-0.000132270176661,-0.336039868379119,-0.476662650057307,-0.028326380632352,0.166666666666666,-0.031735133521786,-0.131933344171542
-0.002580043497353,-0.336039868379119,-0.476662650057307,-0.028326380632352,0,-0.045715712546966,-0.131933344171542
0.03676072014209,-0.661195962608122,-0.476662650057307,-0.034158757932793,-0.166666666666666,-0.046440661562299,-0.131933344171542
0.03676072014209,-0.661195962608122,-0.476662650057307,-0.034158757932793,-0.166666666666666,-0.043566970625506,-0.131933344171542
0.03676072014209,-0.661195962608122,-0.476662650057307,-0.034158757932793,-0.166666666666666,-0.043697894250776,-0.131933344171542
0.355623417504438,-0.661195962608122,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.043593911322695,-0.12352762661563
100,-0.661195962608122,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.043371608683104,-0.12352762661563
0.200113834621469,-0.314105965161706,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.0455866010777,-0.133951070361284
0.192169490423108,-0.314105965161706,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.045953149106794,-0.133951070361284
0.192169490423108,-0.661195962608122,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.045786102249198,-0.133951070361284
0.192169490423108,-0.661195962608122,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.045793208141373,-0.133951070361284
100,-0.661195962608122,-0.476662650057307,-0.032999114276946,-0.166666666666666,-0.04510146004565,-0.130908309627334
100,-0.661195962608122,-0.476662650057307,-0.037292938347889,0,-0.045461009282333,-0.130908309627334
-0.08621107474783,-0.661195962608122,-0.476662650057307,-0.037292938347889,0,-0.045810217657332,-0.296048121342682
-0.08621107474783,-0.661195962608122,-0.476662650057307,-0.037292938347889,-0.166666666666666,-0.045663761662049,-0.296048121342682
-0.112307551964042,-0.661195962608122,-0.476662650057307,-0.037292938347889,-0.166666666666666,-0.044891270686041,-0.128620793604419
-0.112307551964042,-0.3350865367288,-0.476662650057307,-0.194072182014024,0,-0.035939257615262,-0.128620793604419
-0.078125159757496,-0.3350865367288,-0.476662650057307,-0.194072182014024,-0.166666666666666,-0.036249896776932,-0.128620793604419
-0.110531896459914,-0.3350865367288,-0.461393842507623,-0.194072182014024,-0.166666666666666,-0.036607314790216,-0.128620793604419
-0.1075538939592,-0.3350865367288,-0.461393842507623,-0.194072182014024,-0.166666666666666,-0.034626637941847,-0.128620793604419
-0.1075538939592,-0.3350865367288,-0.461393842507623,-0.194072182014024,-0.166666666666666,-0.034644905306996,-0.129866248693694
0.084761235147345,-0.3350865367288,-0.461393842507623,-0.034753350278047,-0.166666666666666,-0.03442015546971,-0.129866248693694
0.092685460132357,-0.3350865367288,-0.461393842507623,-0.034753350278047,-0.166666666666666,-0.0210271889413,-0.129866248693694
0.092685460132357,-0.318614785183863,-0.461393842507623,-0.034753350278047,-0.166666666666666,0.013124167248435,-0.296048121342682
-0.147924653734943,-0.325027368081996,-0.461393842507623,-0.033191097391257,-0.166666666666666,0.012509848242082,-0.296048121342682
-0.147924653734943,-0.325027368081996,-0.461393842507623,-0.033191097391257,-0.166666666666666,0.013996671579133,-0.296048121342682
100,-0.325027368081996,-0.461393842507623,-0.033191097391257,-0.166666666666666,0.014162769493366,-0.296048121342682
100,-0.325027368081996,-0.461393842507623,-0.033191097391257,0,0.014204803017787,-0.296048121342682
100,-0.325027368081996,-0.461393842507623,-0.028382315651724,0,0.014022363919582,-0.296048121342682
